ID,SMILES,Cluster,UMAP1,UMAP2,UMAP3
124,C(C(CC1=CC=CC=C1)(CC2=CC=CC=C2)C(O3)=N[C@@H]4[C@H]3CC5=C4C=C(C6=CC=C(C7=CC=CC=C7)C=C6)C=C5)(O8)=N[C@@H]9[C@H]8CC%10=C9C=C(C%11=CC=C(C%12=CC=CC=C%12)C=C%11)C=C%10,5,0.03152732,7.197499,6.0195436
125,CC1=CC=C(C)C=C1C(C=C2)=CC3=C2C[C@@H]4[C@H]3N=C(C(CC5=CC=CC=C5)(CC6=CC=CC=C6)C(O7)=N[C@@H]8[C@H]7CC9=C8C=C(C%10=C(C)C=CC(C)=C%10)C=C9)O4,5,0.030769108,7.086722,6.0205903
126,CC(C(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(C(C)(C)C)C=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8)(C)C,5,0.1418321,8.064075,5.9315276
127,COC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(OC)C=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.1721198,8.393308,5.8280315
128,C(C(CC1=CC=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)C=C1)(CC5=CC=C(C67C[C@H]8C[C@H](C[C@H](C8)C7)C6)C=C5)C(O9)=N[C@@H]%10[C@H]9CC%11=C%10C=CC=C%11)(O%12)=N[C@@H]%13[C@H]%12CC%14=C%13C=CC=C%14,5,0.30617842,8.5896435,5.8469563
129,CC1=CC(CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC(C)=CC=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8)=CC=C1,5,0.115458265,8.258732,5.8270516
130,CC(C1=CC(C(C)(C)C)=CC(CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8)=C1)(C)C,5,0.12993836,8.096034,5.911421
131,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(CC4=N[C@@H](C(C=CC=C5)=C5C6)[C@@H]6O4)C(O7)=N[C@@H]8[C@H]7CC9=C8C=CC=C9,5,0.29696733,8.881402,5.771153
132,C(C1(CC(C=CC=C2)=C2C1)C(O3)=N[C@@H]4[C@H]3CC5=C4C=CC=C5)(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.48505297,10.004257,5.601781
133,CC1=CC(C)=CC(CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC(C)=CC(C)=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8)=C1,5,0.10754739,8.242882,5.8266897
134,C(C1(CCCCC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,5,0.4935658,10.029665,5.5930157
135,CCCC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)(CCC)C(O4)=N[C@@H]5[C@H]4CC6=C5C=CC=C6,5,0.24600592,8.743294,5.8446813
136,CC1=CC(C)=CC(C)=C1C(C=C2)=CC3=C2C[C@@H]4[C@H]3N=C(C(CC)(CC)C(O5)=N[C@@H]6[C@H]5CC7=C6C=C(C8=C(C)C=C(C)C=C8C)C=C7)O4,5,0.034781568,7.1142807,6.015351
137,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=C(C4=CC=C(C(C)(C)C)C=C4)C=C3)(C)C(O5)=N[C@@H]6[C@H]5CC7=C6C=C(C8=CC=C(C(C)(C)C)C=C8)C=C7,5,0.04441085,7.5583177,6.0083265
138,ClC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(Cl)C=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.26338404,8.532216,5.8285127
